APMU extended D6 alarm,3998
APMU extended D7 alarm,4000
ARFCN TRX Type Mismatch,4168
ARP Conflict,21391
ARP Detection Failure,21406
ARP Session Fault,25903
arrester alarm,9758
ASU Communication alarm,3196
ASU E1 Port alarm,3194
ATM Logical Port Congestion,21586
Audit Log Processing Failure,789
Authentication Failures Reach the Maximum,100006
Auto update certificate failed,41
Automatic Certificate Update Failed,26842
Automatic Version Rollback,26255
Available Resources on Management Nodes Are Going to Be Insufficient,650008
Avalanche alarm,118
Average I/O Wait Too Long,103606
Backup Channel Faulty,21386
Backup clock alarm,11352
Backup Clock Signal Inputs Faulty,20213
Backup Data Packages Do Not Exist,1067
Backup RNC Hardware Capacity Reaching the Limit in RNC in Pool Node Redundancy,22392
Base Station Being Attacked,25950
Base Station DC Power Supply Abnormal,26113
Base Station Frame Number Synchronization Error,26265
Base Station Service Overload,28230
Base Station Service Unavailable,26283
BaseBand Board Temperature Abnormal,5064
BATERIA EM DESCARGA,65203
BATERIA LITIO DESCARREGADA,65212
BATERIA LITIO DESLIGADA,65211
BATERIA LITIO FORA OPERAÇÃO,65087
Battery Cabin Heater Fault,25632
Battery Cabinet Heater Fault Alarm,4422
Battery Circle Circuit Broken Alarm,5218.666667
Battery Configuration Inconsistency,25640
Battery Current Abnormal,13076
Battery Current Out of Range,25625
Battery Disconnected,13074
Battery Failure,25635
Battery Fuse Broken Alarm,4088
Battery high temperature alarm,2356
Battery Not In Position,25634
Battery Power Off Alarm,4764.4
Battery Power Unavailable,25624
Battery Temperature Abnormal,13096
Battery Temperature Too High Alarm,5227.333333
Battery Temperature Too Low Alarm,5229.333333
Battery Temperature Unacceptable,25654
BBU Board Maintenance Link Failure,26205
BBU CPRI Interface Error,26234
BBU CPRI Line Rate Negotiation Abnormal,26246
BBU CPRI Optical Interface Performance Degraded,26233
BBU CPRI Optical Module Fault,26230
BBU CPRI Optical Module or Electrical Port Not Ready,26231
BBU DC Output Out of Range,26112
BBU FAN Communication Abnormal,5082
BBU Fan Not at Full Speed,26111
BBU Fan Stalled,26110
BBU IR Interface Error,26324
BBU IR Line Rate Negotiation Abnormal,26325
BBU IR Optical Module Fault,26320
BBU IR Optical Module or Electrical Port Not Ready,26321
BBU Optical Module Transmit/Receive Fault,26232
BBU Power Alarm,5086
BBU Temperature Alarm,9746
BBU Topology and Configuration Mismatch,26240
BFD Session Fault,25899
BICC Link Set Broken,40009
Blacklisted NE Versions,528
Board Active-Standby Abnormal,20239
Board BFN Abnormal,28302
Board BIOS CRC Fault Alarm,20234
Board Blocked,25292.61538
Board Chip Loading Failed,5070
Board Clock Abnormal,5084
Board Clock Input Unavailable,26106
Board Communication Alarm,5478
Board Communication Fault,20262
Board Configuration Data Change Invalid,21403
Board Configuration Error,28019
Board Configuration Inconsistent with Resource Group Configuration,28350
Board Downlink Service Processing Channel Abnormal,28301
Board File System Damaged,26208
Board Frequent Abnormal Reset,20291
Board Hardware Failure Alarm,12552
Board Hardware Fault,25283.53846
Board Hardware Indication Fault,12850
Board in Wrong Slot,26207
Board Initialization Failed,5068
Board Input Voltage Out of Range,26107
Board Internal Hardware Abnormal,5066
Board Maintenance Link Abnormal Alarm,12820
Board Not In Position,26204
Board Not Securely Installed,26216
Board Overload,26202
Board Power Abnormal,5078
Board Power on Failed Alarm,5582
Board Powered Off,26214
Board Software Auto-Supply Failure,26253
Board Software Fault,12806
Board Software Fault Alarm,12294
Board Software Program Error,26203
Board Software Synchronization Failure,26254
Board Startup and Running Failure,20257
Board Subsystem Unavailable,20242
Board Temperature Abnormal,20280
Board Temperature Abnormal Alarm,12573
Board Temperature too High,20251
Board Temperature Unacceptable,26104
Board Transmission Resource Insufficiency,21399
Board Type and Configuration Mismatch,26251
Board Type Mismatch,5312
Board Type Mismatch Alarm,6214.888889
Board Unavailable,20241
Board Unrecognizable,26252
Board Uplink Service Processing Channel Abnormal,28300
Board Voltage Abnormity Alarm,20233
Bond NIC Status Abnormal,103608
Boolean 1 Alarm,6782.5
Boolean 10 Alarm,5680
Boolean 11 Alarm,5682
Boolean 12 Alarm,5684
Boolean 13 Alarm,5686
Boolean 14 Alarm,5688
Boolean 15 Alarm,5690
Boolean 16 Alarm,5692
Boolean 17 alarm,6324
Boolean 18 alarm,6326
Boolean 19 alarm,6328
Boolean 2 Alarm,6784.5
Boolean 20 alarm,6330
Boolean 21 alarm,6332
Boolean 22 alarm,6334
Boolean 23 alarm,6336
Boolean 24 alarm,6338
Boolean 25 alarm,6340
Boolean 26 alarm,6342
Boolean 27 alarm,6344
Boolean 28 alarm,6346
Boolean 29 alarm,6348
Boolean 3 Alarm,7032
Boolean 30 alarm,6350
Boolean 31 alarm,6352
Boolean 32 alarm,6354
Boolean 4 Alarm,6788.5
Boolean 5 Alarm,5798
Boolean 6 Alarm,5800
Boolean 7 Alarm,5802
Boolean 8 Alarm,5676
Boolean 9 Alarm,5678
Broadcast Packet Overflow,20224
Broadcast Packets Exceeding Alarm,25957
Broken LAPD Link Alarm,4612
BSC Node Redundancy Configuration Exception,21829
BSC Node Redundancy Heart Beat Link Break,21828
BSC Service Object Configuration Incomplete,21839
BSL Fault,21840
BSS Internal Voice Channel Abnormal,21814
BTS Clock Synchronization Abnormal Alarm,12554
BTS Configuration Conflict Alarm,12559
BTS License Will Be Revoked,20758
BTS Maintenance Alarm,3476
BTS Not Support Configured Function,21806
BTS Signal Interface Create Fail,21831
BTS Statistical Alarm,20801
BTS Unavailable,20804
BTS Version Rollback Alarm,12552
BTS3001C Power Abnormal alarm,3200
BTS3001C Temperature alarm,3198
BTS3006C/3002E AC Arrester Failure,6036
BTS3006C/3002E Boolean 1 Alarm,4944
BTS3006C/3002E Boolean 10 Alarm,4962
BTS3006C/3002E Boolean 11 Alarm,4964
BTS3006C/3002E Boolean 12 Alarm,4966
BTS3006C/3002E Boolean 13 Alarm,4968
BTS3006C/3002E Boolean 14 Alarm,4970
BTS3006C/3002E Boolean 15 Alarm,4972
BTS3006C/3002E Boolean 16 Alarm,4974
BTS3006C/3002E Boolean 17 Alarm,4976
BTS3006C/3002E Boolean 18 Alarm,4978
BTS3006C/3002E Boolean 19 Alarm,4980
BTS3006C/3002E Boolean 2 Alarm,4946
BTS3006C/3002E Boolean 20 Alarm,4982
BTS3006C/3002E Boolean 21 Alarm,4984
BTS3006C/3002E Boolean 22 Alarm,4986
BTS3006C/3002E Boolean 23 Alarm,4988
BTS3006C/3002E Boolean 24 Alarm,4990
BTS3006C/3002E Boolean 25 Alarm,4992
BTS3006C/3002E Boolean 26 Alarm,4994
BTS3006C/3002E Boolean 27 Alarm,4996
BTS3006C/3002E Boolean 28 Alarm,4998
BTS3006C/3002E Boolean 29 Alarm,5000
BTS3006C/3002E Boolean 3 Alarm,4948
BTS3006C/3002E Boolean 30 Alarm,5002
BTS3006C/3002E Boolean 31 Alarm,5004
BTS3006C/3002E Boolean 32 Alarm,5006
BTS3006C/3002E Boolean 4 Alarm,4950
BTS3006C/3002E Boolean 5 Alarm,4952
BTS3006C/3002E Boolean 6 Alarm,4954
BTS3006C/3002E Boolean 7 Alarm,4956
BTS3006C/3002E Boolean 8 Alarm,4958
BTS3006C/3002E Boolean 9 Alarm,4960
BTS3006C/BTS3002E Boolean 1 Alarm,6122
BTS3006C/BTS3002E Boolean 10 alarm,6230
BTS3006C/BTS3002E Boolean 11 alarm,6232
BTS3006C/BTS3002E Boolean 12 alarm,6234
BTS3006C/BTS3002E Boolean 13 alarm,6236
BTS3006C/BTS3002E Boolean 14 alarm,6238
BTS3006C/BTS3002E Boolean 15 alarm,6240
BTS3006C/BTS3002E Boolean 16 alarm,6242
BTS3006C/BTS3002E Boolean 17 alarm,6244
BTS3006C/BTS3002E Boolean 18 alarm,6246
BTS3006C/BTS3002E Boolean 19 alarm,6248
BTS3006C/BTS3002E Boolean 2 Alarm,6124
BTS3006C/BTS3002E Boolean 20 alarm,6250
BTS3006C/BTS3002E Boolean 21 alarm,6252
BTS3006C/BTS3002E Boolean 22 alarm,6254
BTS3006C/BTS3002E Boolean 23 alarm,6256
BTS3006C/BTS3002E Boolean 24 alarm,6258
BTS3006C/BTS3002E Boolean 25 alarm,6260
BTS3006C/BTS3002E Boolean 26 alarm,6262
BTS3006C/BTS3002E Boolean 27 alarm,6264
BTS3006C/BTS3002E Boolean 28 alarm,6266
BTS3006C/BTS3002E Boolean 29 alarm,6268
BTS3006C/BTS3002E Boolean 3 alarm,6216
BTS3006C/BTS3002E Boolean 30 alarm,6270
BTS3006C/BTS3002E Boolean 31 alarm,6272
BTS3006C/BTS3002E Boolean 32 alarm,6274
BTS3006C/BTS3002E Boolean 4 Alarm,6128
BTS3006C/BTS3002E Boolean 5 Alarm,6130
BTS3006C/BTS3002E Boolean 6 Alarm,6132
BTS3006C/BTS3002E Boolean 7 Alarm,6134
BTS3006C/BTS3002E Boolean 8 alarm,6226
BTS3006C/BTS3002E Boolean 9 alarm,6228
BTS3006C/BTS3002E Low Analog Input Signal 1 Alarm,6278
BTS3006C/BTS3002E Low Analog Input Signal 2 Alarm,6282
BTS3006C/BTS3002E Low Analog Input Signal 3 Alarm,6286
BTS3006C/BTS3002E LOW Analog Input Signal 4 Alarm,6290
BTS3006C/BTS3002E Over Analog Input Signal 1 Alarm,6276
BTS3006C/BTS3002E Over Analog Input Signal 2 Alarm,6280
BTS3006C/BTS3002E Over Analog Input Signal 3 Alarm,6284
BTS3006C/BTS3002E Over Analog Input Signal 4 Alarm,6288
BTS3012 AC Arrester Failure,5658
BTS3012 Boolean 1 Alarm,5654
BTS3012 Boolean 11 Alarm,4846
BTS3012 Boolean 12 Alarm,4848
BTS3012 Boolean 13 Alarm,4850
BTS3012 Boolean 14 Alarm,4852
BTS3012 Boolean 15 Alarm,4854
BTS3012 Boolean 16 Alarm,5639
BTS3012 Boolean 19 Alarm,4862
BTS3012 Boolean 2 Alarm,5656
BTS3012 Boolean 20 Alarm,4864
BTS3012 Boolean 21 Alarm,4866
BTS3012 Boolean 22 Alarm,4868
BTS3012 Boolean 23 Alarm,4870
BTS3012 Boolean 24 Alarm,4872
BTS3012 boolean 3 alarm,4782
BTS3012 Boolean 4 Alarm,5222
BTS3012 Boolean 5 Alarm,5224
BTS3012 Boolean 6 Alarm,5226
BTS3012 Boolean 7 Alarm,5228
BTS3012 boolean 8 alarm,4792
BTS3012 Boolean1 Alarm,6438
BTS3012 Boolean10 Alarm,6456
BTS3012 Boolean11 Alarm,6458
BTS3012 Boolean12 Alarm,6460
BTS3012 Boolean13 Alarm,6462
BTS3012 Boolean14 Alarm,6464
BTS3012 Boolean15 Alarm,6466
BTS3012 Boolean17 Alarm,6424
BTS3012 Boolean18 Alarm,6426
BTS3012 Boolean19 Alarm,6428
BTS3012 Boolean2 Alarm,6440
BTS3012 Boolean20 Alarm,6430
BTS3012 Boolean21 Alarm,6432
BTS3012 Boolean22 Alarm,6434
BTS3012 Boolean23 Alarm,6436
BTS3012 Boolean24 Alarm,6468
BTS3012 Boolean25 Alarm,6470
BTS3012 Boolean26 Alarm,6472
BTS3012 Boolean27 Alarm,6474
BTS3012 Boolean28 Alarm,6476
BTS3012 Boolean29 Alarm,6478
BTS3012 Boolean3 Alarm,6442
BTS3012 Boolean30 Alarm,6480
BTS3012 Boolean31 Alarm,6482
BTS3012 Boolean32 Alarm,6484
BTS3012 Boolean4 Alarm,6444
BTS3012 Boolean5 Alarm,6446
BTS3012 Boolean6 Alarm,6448
BTS3012 Boolean7 Alarm,6450
BTS3012 Boolean8 Alarm,6452
BTS3012 Boolean9 Alarm,6454
BTS3012 cabinet 0 arrester alarm,4778
BTS3012 cabinet 1 arrester alarm,4780
BTS3012 Cabinet 3 Arrester Alarm,4842
BTS3012 Cabinet 4 Arrester Alarm,4844
BTS3012 Cabinet 6 Arrester Alarm,4858
BTS3012 Cabinet 7 Arrester Alarm,4860
BTS3012A Air-Conditioner Alarm,5522
BTS3012A Heat-Exchanger Alarm,2492
BTS3012AE AC Arrester Failure,5672
BTS3012AE Boolean 1 Alarm,5271
BTS3012AE Boolean 10 Alarm,4892
BTS3012AE Boolean 11 Alarm,4894
BTS3012AE Boolean 12 Alarm,4896
BTS3012AE Boolean 13 Alarm,4898
BTS3012AE Boolean 14 Alarm,4900
BTS3012AE Boolean 15 Alarm,4902
BTS3012AE Boolean 16 Alarm,4904
BTS3012AE Boolean 17 Alarm,4906
BTS3012AE Boolean 18 Alarm,4908
BTS3012AE Boolean 19 Alarm,4910
BTS3012AE Boolean 2 Alarm,5273
BTS3012AE Boolean 20 Alarm,4912
BTS3012AE Boolean 21 Alarm,4914
BTS3012AE Boolean 22 Alarm,4916
BTS3012AE Boolean 23 Alarm,4918
BTS3012AE Boolean 24 Alarm,4920
BTS3012AE Boolean 3 Alarm,4878
BTS3012AE Boolean 4 Alarm,5277
BTS3012AE Boolean 5 Alarm,5279
BTS3012AE Boolean 6 Alarm,5281
BTS3012AE Boolean 7 Alarm,5283
BTS3012AE Boolean 8 Alarm,4888
BTS3012AE Boolean 9 Alarm,4890
BTS3900E boolean 1 alarm,12852
BTS3900E boolean 2 alarm,12854
BTS3900E boolean 3 alarm,12856
BTS3900E boolean 4 alarm,12858
Burglar Alarm,23577.66667
CA has expired,800002
CA is about to expire,800001
Cabinet Air Inlet Temperature Unacceptable,25656
Cabinet Air Outlet Temperature Unacceptable,25655
Cabinet Capability  Mismatch,26293
Cabinet Door Open,20037
Cabinet Humidity Abnormal,13094
Cabinet Humidity Unacceptable,25653
Cabinet Power Over Alarm,20057
Cabinet Temperature Abnormal,13092
Cabinet Temperature Unacceptable,25652
Cable Connection of the TRX Output Port Alarm,4208
CAN BUS Communication Abnormal,4891
CAN I2C Link Abnormal,4704
Carrier Configuration Error,28010
Carrier No Traffic,28009
Cavity Board Type Mismatch,5348
Cavity Configuration alarm,5126
Cavity Tune Abnormal alarm,5128
Cavity Tune Failure Alarm,5300
CBC Communication Fault,22101
CCDU inner data bus alarm,5302
CCE CPU Usage Is High,355
CCE Disk Usage Is High,357
CCE Memory Usage Is High,356
CCP Fault,25836
CCP Faulty,22205
CCP Information Inconsistency Between the RNC and the NodeB,22213
CCU Topology and Configuration Mismatch,25719
CCU-BBU Communication Failure,25721
CDU Band Mismatch ARFCN Alarm,3808
CDU Communication Alarm,2280
CDU Diversity RX LNA Alarm,2278
CDU Diversity RX TTA Alarm,3790
CDU extended 60 alarm,5316
CDU Main RX LNA Alarm,2276
CDU Main RX TTA Alarm,3788
CDU VSWR Critical Alarm,2286
CDU VSWR Level 1 Alarm,2274
CDU VSWR Level 2 Alarm,2272
Cell Blocked,29245
Cell Capability Degraded,29243
Cell Configuration Abnormal,28211
Cell DL Load Simulation Startup,28204
Cell Logical Channel Failure Alarm,21816
Cell No Traffic,28674.77778
Cell Outage,311
Cell Output Power too Low,28205
Cell PCH Congestion,21822
Cell PCI Conflict,29247
Cell PS Service Faulty,22006
Cell RACH Congestion,21817
Cell Reconfiguration Failed,29241
Cell RTWP Excessive,28213
Cell RX Channel Interference Noise Power Unbalanced,29250
Cell Simulated Load Startup,29246
Cell Unavailable,29240
Certificate Auto-update Failed,20803
Certificate Has Expired,100005
Certificate has expired of Certificate Authority Service,800007
Certificate Invalid,26841
Certificate Is About to Expire,100003
Certificate is about to expire of Certificate Authority Service,800006
Certificate of the CA Proxy Service Has Expired,800010
Certificate of the CA Proxy Service Is About To Expire,800009
Certificate of the Remote DR System About to Expire,51026
Certificate of the Remote DR System Has Expired,51025
Certificate Status Failed to Be Obtained,26843
Channel Manually Blocked,21804
CIC Downlink One-Way Mute,21590
Clock alarm,3438
Clock Reference Abnormal Alarm,3432
Clock Reference Source of An Interface Board Unavailable,20212
Clock Reference Source of Main Control Board Unavailable,20208
Clock Signal Inputs Faulty,20204
Clock Signal Outputs Faulty,20203
Clock Signal Outputs to the Backplane Faulty,20274
Clock Source Type Configuration Conflict,4698
Clock Synchronization for Co-Site Failed,4834
Cluster Resource Abnormal,788
Cluster Still Contains Faulty Hosts,650010
CN Node Flow Control,22389
CN Node Inhibited,22395
Combining and Distribution Unit Diversity RX LNA Alarm,5290
Combining and Distribution Unit Extended 03 Alarm,5130
Combining and Distribution Unit Extended 04 Alarm,5132
Combining and Distribution Unit Extended 05 Alarm,5134
Combining and Distribution Unit Main RX LNA Alarm,5288
Combining and Distribution Unit VSWR Critical Alarm,5298
Combining and Distribution Unit VSWR Level 1 Alarm,5286
Combining and Distribution Unit VSWR Level 2 Alarm,5284
Commands or Parameters Not Supported by RET Alarm,10272
Communication Between GE Switching Board and OMU Faulty,20223
Communication Between GE Switching Boards Faulty,20222
Communication Between Internal OSS Services Is Abnormal,787
Communication Between Subracks Faulty,20227
Communication Between the PSU and APMU Abnormal,13086
Communication Congestion Between Subracks,20277
Communication Failure Between a Service Board and an SCU Board,20279
Communication Failure Between BSC and VNP,20853
Communication Failure Between NE and EMS,20738
Communication with AC server Abnormal,22012
Compressor of air-condition Alarm,10776
Condensator high temperature alarm,10778
Configuration Between Related NE Dismatch,22244
Configuration Data Exceeding License Capacity,20741
Configuration Data Inconsistency,26245
Configuration Failure,26247
Configuration File Damaged,26242
Configuration Inconsistency Between Controller and CN,22013
Configuration of Service Objects Incomplete,22388
Configured ALD Subunit Type Inconsistent with the Actual Type,26761
Configured board type inconsistent with the type of the board that is running,20278
Configured Capacity Limit Exceeding Licensed Limit,26811
Connect the infrastructure Failure,1081
Connection Interrupted Between CCE and Device,354
Cooler Fault,25674
CPU Blocked,20263
CPU Overload,20256
CRC Value Inconsistency in Board Startup,20750
Critical Overtemperature(CPUN Memory),372
CRL is published failed,800005
CSL Fault,21825
Current Clock Reference Source of Main Control Board Abnormal,20210
Current System Clock Reference Source Status Abnormal,20206
CXU AC Power Input Failure,26919
CXU Clock Abnormal,26913
CXU DC Power Input Failure,26916
CXU External Power Supply Insufficient,26914
CXU Hardware Fault,26908
CXU Link TX/RX Error,26904
CXU Maintenance Link Failure,26918
CXU Optical Module Fault,26906
CXU Optical Module or Electrical Port Not Ready,26901
CXU Optical Module Temperature Unacceptable,26917
CXU Optical Module Type Mismatch,26902
CXU Overload,26910
CXU Runtime Topology Abnormal,26915
CXU Software Program Error,26909
CXU Temperature Unacceptable,26907
Damp alarm,9750
Data Channel Abnormal,790
Data Configuration Exceeding Licensed Limit,26819
Data Inconsistency Between OMU and Host,20736
Data Processing Failure,792
Data Store Usage Exceeds the Threshold,650024
Data Synchronization Failed for the Offline Remote HA System,1075
Database Application Scheduled Backup Failure,101218
Database Connections to Be Used Up,103607
Database Data Synchronization Between Active and Standby VRM Nodes Failed,650007
Database instance failover occurred,101211
Database Space Is Going to Be Insufficient,650025
Database Table or Index Is Corrupted,1073
Database User Locked,103709
Database User Password Expired,103710
DBUS Alarm,3266
DC Lightning Arrester Failure Alarm,4852
DC Lowvoltage Alarm,4092
DC Output Abnormal,13068
DC Over Voltage Alarm,5210.666667
DC Overvoltage Alarm,4094
DC Surge Protector Fault,13084
DC Surge Protector Fault Alarm,10798
DC Under Voltage Alarm,5212.666667
DDPU Type Mismatch Trx Alarm,5336
DEMU Hardware Failure Alarm,6506
Deployment Region Connectivity Test Failed,100503
Device Object Configuration Conflict,25730
Device Removed (FANN F/R Presence),370
Diesel Engine Failure Alarm,6060
Diesel Generator Fault,25695
Diesel Generator Low Fuel,25696
Diesel Generator Startup Failure,25697
"Digital Certificate Loss, Expiry, or Damage",20851
Digital Certificate Will Be out of Valid Time,20850
DISJUNTOR CONSUMIDOR,65208
DISJUNTOR GERAL,65209
Disk Index Nodes for HOFS About to Be Insufficient,103405
Diversity Receive Channel Alarm,3286
DNS Resolution Failure,25958
Documents Overload,51027
Door Alarm,7250
Door Open Alarm,6510
Downlink Adaptive Band-Pass Filter Optimization Fault,22286
Downlink alarm,3446
DPCL Link Communication Failure,26403
DPTU board communication alarm,11364
DPTU temperature abnormal alarm,11296
DRS and DRS Master Module Capability Mismatch,26570
DRS Maintenance Link Failure,26404
DRU Band Mismatch ARFCN alarm,3580
DRU Clock Critical alarm,3654
DRU Close Power Amplifier alarm,3570
DRU Communication alarm,3662
DRU Configuration alarm,3574
DRU extended 06 alarm,3582
DRU extended 08 alarm,3586
DRU extended 09 alarm,3588
DRU extended 0A alarm,3590
DRU extended 0F alarm,3600
DRU extended 10 alarm,3602
DRU extended 11 alarm,3604
DRU extended 13 alarm,3608
DRU extended 15 alarm,3612
DRU extended 17 alarm,3616
DRU extended 18 alarm,3618
DRU extended 19 alarm,3620
DRU extended 1A alarm,3622
DRU extended 1B alarm,3624
DRU extended 1C alarm,3626
DRU extended 1E alarm,3630
DRU extended 1F alarm,3632
DRU extended 21 alarm,3636
DRU extended 22 alarm,3638
DRU extended 24 alarm,3642
DRU extended 25 alarm,3644
DRU extended 28 alarm,3650
DRU extended 29 alarm,3652
DRU extended 2C alarm,3658
DRU Hardware alarm,3606
DRU ID Mismatched Alarm,3596
DRU Interior I/O alarm,3584
DRU Processor Running alarm,3576
DRU Reverse Power alarm,3614
DRU Temperature alarm,3664
DRU Temperature Critical alarm,3660
Dry Contact 1 Alarm,4228
Dry Contact 2 Alarm,4230
DSP download fail alarm,3176
DSP Version Report Alarm,4762
DTMU Inverse Alarm,4806
Dual Homing Virtual Node Dual Activation,310
Dual Network Primary/Backup Inconsistency,26405
Dual-Homed NodeB Configuration Incorrect,22235
Dual-Homed NodeB Control Rights Inconsistency,22236
DUP Unit Clock Abnormal,5321
DUP Unit Hardware Fault,5324
DUP Unit LNA Fault,5330
DUP Unit Slot Changed Alarm,5332
DUP Unit Voltage Abnormal,5318
E1 Inboard Alarm,2454
E1 Local Alarm,3012.666667
E1 Outboard Alarm,2452
E1 Remote Alarm,3014.666667
E1 Remote Loop Test Alarm,2679
E1/T1 Alarm Indication Signal,25801
E1/T1 Excessive Bit Error Rate,25806
E1/T1 Excessive Slip Frames,25805
E1/T1 Inboard Alarm,7514
E1/T1 Local Alarm,7996
E1/T1 Local Failure Alarm,12846
E1/T1 Loopback,25807
E1/T1 Loss of Frame Alignment,25803
E1/T1 Loss of Multiframe Alignment,25804
E1/T1 Loss of Signal,25800
E1/T1 Outboard Alarm,7512
E1/T1 Port Illegal Alarm,4836
E1/T1 Remote Alarm,7998
E1/T1 Remote Alarm Indication Signal,25802
E1/T1 Remote Failure Alarm,12848
